prolific_id,age,gender,religion,ethnic_group,education,primary_language,type_of_residence,income,political_stance
600f9342e7bc5518fa9ca92a,18-24,Male,Buddhism,Asian,High school diploma/A-levels,English,Suburban,"$50,000 - $59,999",Liberal
5fd67cce91f9895969c0edee,25-34,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,"$50,000 - $59,999",Very conservative
671724d63bb81e6f00449783,25-34,Female,Spiritual but not religious,Black or African American,High school diploma/A-levels,English,Urban,"Less than $10,000",Very conservative
66c8e33cab12474b2168145f,18-24,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$70,000 - $79,999",Conservative
60fd6618f9a377f54dcdf318,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$90,000 - $99,999",Moderate
5adf59e3dee8590001b05de4,35-44,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$70,000 - $79,999",Very conservative
5cba50bf114fa5001aac5570,65-74,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Rural,"$10,000 - $19,999",Conservative
675088c65bc8f118eaac066a,25-34,Male,Christianity,Black or African American,High school diploma/A-levels,English,Suburban,"$40,000 - $49,999",Very conservative
67d6e0be6086654c357b5dfb,45-54,Male,Christianity,Black or African American,Doctorate degree (PhD/other),English,Urban,"$70,000 - $79,999",Moderate
6766deef2e4e127d7fc3c293,35-44,Male,Christianity,White or Caucasian,Technical/community college,English,Suburban,"$70,000 - $79,999",Conservative
6303fb5b692c378ba1d010f9,25-34,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$50,000 - $59,999",Very conservative
6679c3a62d9db76da6ada94e,45-54,Male,Agnostic,White or Caucasian,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Moderate
67f903426047ede93dc9c66b,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$90,000 - $99,999",Very liberal
67aa75039a0fc208035cdd01,25-34,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Urban,"$100,000 - $149,999",Conservative
627a65a2439f59544115d476,25-34,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$40,000 - $49,999",Liberal
6517301b6d21d25e19c7e501,45-54,Male,No Religion,White or Caucasian,Technical/community college,English,Rural,"$40,000 - $49,999",Libertarian
5d100e740277ff00152f7562,45-54,Female,No Religion,White or Caucasian,Technical/community college,English,Suburban,"$30,000 - $39,999","Independent, lean conservative. "
67a9fb88ef329322c230663a,45-54,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Very conservative
66b4d2ee1ac8c5e9060a6930,35-44,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"Less than $10,000",Conservative
67e24e90c34339254575ff23,18-24,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$30,000 - $39,999",Very liberal
5e0696dea7fba607951ae479,35-44,Male,servant of the most High God of Israel,Black or African American,Technical/community college,English,Urban,"$20,000 - $29,999",Moderate
67a5d31bf54af87b3aea7c11,35-44,Male,Christianity,Black or African American,Doctorate degree (PhD/other),English,Urban,"More than $150,000",Very conservative
67d750ee1b27f207a98703a5,18-24,Male,Christianity,Black or African American,Technical/community college,English,Suburban,"$30,000 - $39,999",Conservative
667dff584b72be8e8cf6b196,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$60,000 - $69,999",Very conservative
5c4ea6cc889752000156dd8e,45-54,Male,Spiritual but not religious,White or Caucasian,High school diploma/A-levels,English,Rural,"$40,000 - $49,999",Very liberal
671ea8fb61ba3a4c1d13ecd4,25-34,Male,Christianity,Black or African American,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Conservative
5e274886bcb84f052bf6858f,25-34,Female,Spiritual but not religious,Asian,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Liberal
67d4b1247702d9231c4ea402,35-44,Female,Christianity,Hispanic or Latino,High school diploma/A-levels,English,Urban,"$60,000 - $69,999",Conservative
66a97b82d92cfcb73271ff9a,18-24,Male,No Religion,Native Hawaiian or Other Pacific Islander,High school diploma/A-levels,English,Rural,"Less than $10,000",Prefer not to say
616cf9ae07c1c6bd05d95beb,45-54,Male,Christianity,White or Caucasian,Technical/community college,English,Rural,"$10,000 - $19,999",Liberal
65fcc10f1b8021c98cace561,55-64,Female,Christianity,Hispanic or Latino,Doctorate degree (PhD/other),"English, Spanish",Suburban,"$90,000 - $99,999",Moderate
67c35bed28161edad1829850,65-74,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$50,000 - $59,999",Very conservative
5e3079c558a8c8073fdb1ff9,35-44,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$60,000 - $69,999",Moderate
5ca419ef2fd4860001a501db,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$90,000 - $99,999",Conservative
667433338e6cc9e53c828774,35-44,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,"$30,000 - $39,999",Liberal
59d1e366faf42e00012b6c1c,55-64,Female,Christianity,Biracial,High school diploma/A-levels,English,Rural,"$10,000 - $19,999",Conservative
6303fb5b692c378ba1d010f9,25-34,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$50,000 - $59,999",Conservative
5bb5473f9e00ca0001893a4c,55-64,Male,Christianity,Hispanic or Latino,High school diploma/A-levels,"English, Spanish",Rural,"$40,000 - $49,999",Very conservative
6792c956f76b9027f9768491,25-34,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$90,000 - $99,999",Very conservative
6629497a938b0963356f7002,45-54,Female,Jewish,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"Less than $10,000",Liberal
66464cb5fa68d7813581f103,35-44,Male,No Religion,Hispanic or Latino,High school diploma/A-levels,English,Suburban,"Less than $10,000",Conservative
67da124f290b261d43b4461a,35-44,Female,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$40,000 - $49,999",Very liberal
6478e5fc76f5ecbc4f0ed353,25-34,Male,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$40,000 - $49,999",Libertarian
6030ac6fe9ee913af8f49a8f,18-24,Male,No Religion,Mixed,High school diploma/A-levels,English,Suburban,"$20,000 - $29,999",Very liberal
5d7ff85ffec5620017b07c40,45-54,Female,Christianity,Mixed Mexican/White,Technical/community college,English,Urban,"$10,000 - $19,999",Very liberal
5c7c441a4da3e60001b66871,25-34,Female,No Religion,Hispanic or Latino,Undergraduate degree (BA/BSc/other),English,Urban,"$20,000 - $29,999",Very liberal
66200b032829f40f3664afdf,45-54,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Urban,"$30,000 - $39,999",Very liberal
67e3126f2bfefc992d4dace9,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"Less than $10,000",Very liberal
67887ed5271759466f1ed65a,18-24,Female,Christianity,Hispanic or Latino,High school diploma/A-levels,"English, Spanish",Rural,"$10,000 - $19,999",Conservative
669a92a7634bd2faf6fec077,55-64,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Conservative
670c06bb7926d2525a7a7755,25-34,Male,Christianity,Black or African American,High school diploma/A-levels,English,Urban,"$70,000 - $79,999",Very conservative
