timestamp,prolific_id,age,gender,religion,ethnic_group,education,primary_language,type_of_residence,income,political_stance,favorite_activities,important_values,personality,social_tendency,hobby,num_places_lived,social_relationship_values,primary_goal,meaningful_events,values_in_friends,what_to_do_with_100_dollars,social_feed_1,social_feed_2
3/4/2025 23:14:27,6604cc1105cf0f2779ae1ae8,25-34,Female,Islam,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$20,000 - $29,999",Very liberal,Work,Compassion,Thoughtful,Friendly,Photography,3,"Loyalty, Emotional connection",Career growth,Graduating,thoughtful,Pay debt,"like-post: post-9e09d3
share-post: post-3fa5ef
comment-post: post-e7bb58: Disagree! 
add-note: post-e7bb58: the article contains misinformation","like-post: post-ddbcb2 
share-post: post-c84e51
comment-post: post-6900e8: This is not true
add-note: post-6900e8 : the article contains misinformation"
3/4/2025 23:14:59,57d3280454aba00001d9f0f7,25-34,Female,Spiritual but not religious,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$70,000 - $79,999",Liberal,Work,"Compassion, Ambition, Independence",Extroverted,"Friendly, Reserved, Awkward",Video games,5,"Trust, Fun, Loyalty, Intellectual connection, Emotional connection, Shared experiences",Career growth,Moving from home state,Intellectual,Food,"like-post: post-a02de3, like-post: post-6be7d0, like-post: post-b50e43","like-post: post-ddbcb2, like-post: post-c890f0, like-post: post-9b758b, share-post: post-6900e8 "
3/4/2025 23:16:36,67acfb68c3860389b0c4db4b,25-34,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$50,000 - $59,999",Very conservative,Work,"Integrity, Community",Thoughtful,Friendly,Reading,2,"Trust, Loyalty, Emotional connection",Family,Becoming a mother.,"Mutual care for eachother, understanding of life getting busy and less time being spent with each other",Go on a childless date with my husband.,"Like post: post-3b6b25 
Share post: post-b50e43","Like: post-ddbcb2
Share: post-29054b"
3/4/2025 23:29:59,66661b49621ea96feaf4f6f3,35-44,Female,Christianity,Asian,High school diploma/A-levels,English,Suburban,"$50,000 - $59,999",Conservative,Spending time with family,Integrity,Introverted,Reserved,Being a mom,5,"Trust, Loyalty",Family,Giving birth to first born,Everlasting friendship,Spend it on my son,Some of the post are ridiculous and shouldn’t even be posted anywhere,Would only want fact checked
3/4/2025 23:30:35,6789317cf0fc05fe026e0010,25-34,Female,Christianity,Asian,Undergraduate degree (BA/BSc/other),English,Suburban,"$10,000 - $19,999",Conservative,Spending time with family,Ambition,Introverted,Reserved,cooking,5,"Trust, Fun, Loyalty, Intellectual connection, Emotional connection",Family,Giving birth,Trustworthy,Save it,"like-post:post-3fa5ef
like-post:post-a02de3",like-post:st-9b758b
3/4/2025 23:31:15,67a98bde69857fed20901227,45-54,Female,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"Less than $10,000",Very liberal,Hobbies,"Integrity, Compassion","Introverted, Thoughtful, Analytical","Confident, Friendly",reading,21,"Trust, Emotional connection",Financial stability,stopping drinking,loyalty,buy a floor lamp,huh?,I don't know what you want. I have no interest in interacting with any of this content. 
3/4/2025 23:32:00,673e9c8e7b6bcc324c61c7f6,35-44,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$100,000 - $149,999",Conservative,Spending time with family,Compassion,Thoughtful,Awkward,painting,4,"Trust, Loyalty",Family,having children,loyalty,buy skincare,"share-post: post-a41a79
like-post: post-3b6b25",like-post:post-ddbcb2
3/4/2025 23:32:33,60fcd2732f224ad841d9677d,35-44,Female,No Religion,White or Caucasian,High school diploma/A-levels,English,Rural,"Less than $10,000",Very liberal,Spending time with family,Compassion,Introverted,"Reserved, Neutral",Gardening,2,"Trust, Loyalty",Financial stability,Having my child,Loyalty,Pay gas bill,like-post: post-9e09d3 ,like-post: post-950c89
3/4/2025 23:37:11,60f838095603e27ca51820a7,65-74,Male,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$90,000 - $99,999",Very liberal,Relaxing by yourself,"Integrity, Compassion",Introverted,Friendly,Reading,3,"Trust, Intellectual connection",Personal development,Moving to where I live,Fun,Spend it on something fun,"Ignore: post-3fa5ef
Ignore: post-a02de3
Ignore: post-9e09d3
Ignore: post-c31764
Ignore: post-6be7d0
Ignore: post-a41a79
Ignore: post-b50e43
Ignore: post-3b6b25
Ignore: post-8b9e63
Ignore: post-e7bb58","Ignore: post-ddbcb2
Ignore: post-1718ae
Ignore: post-0e91a2
Ignore: post-cca0c0
Ignore: post-c890f0
Ignore: post-7d2e8b
Ignore: post-f7530f
Ignore: post-950c89
Ignore: post-c84e51
Ignore: post-29054b
Ignore: post-735100
Ignore: post-eda706
Ignore: post-9b758b
Ignore: post-ccb7b4
Ignore: post-21477d
Ignore: post-bd8ac4
Ignore: post-66bc98
Ignore: post-5de5ff
Ignore: post-6900e8
Ignore: post-33e715"
3/4/2025 23:38:20,65fda8834c37f95628836b89,45-54,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$100,000 - $149,999",Conservative,Work,Integrity,Introverted,Reserved,Running,3,"Trust, Loyalty",Family,Open heart surgery,loyalty,Gamble,"""action""
","I don't like this feed at all, it is confusing"
